Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
GaussianCopula,CTABGAN,4.0,6.5,0.875,False
ForestDiffusion,GaussianCopula,1.1666666666666667,4.0,0.875,False
ForestDiffusion,TVAE,1.1666666666666667,4.0,0.875,False
ForestDiffusion,TabDDPM,1.1666666666666667,5.333333333333333,0.875,False
ForestDiffusion,CopulaGAN,1.1666666666666667,5.666666666666667,0.875,False
ForestDiffusion,CTGAN,1.1666666666666667,6.333333333333333,0.875,False
ForestDiffusion,CTABGAN,1.1666666666666667,6.5,0.875,False
WGAN-GP,CTABGAN,3.0,6.5,0.875,False
TVAE,CopulaGAN,4.0,5.666666666666667,1.0,False
TVAE,CTGAN,4.0,6.333333333333333,1.0,False
TVAE,CTABGAN,4.0,6.5,1.0,False
ForestDiffusion,WGAN-GP,1.1666666666666667,3.0,1.0,False
TabDDPM,CTGAN,5.333333333333333,6.333333333333333,1.0,False
TVAE,TabDDPM,4.0,5.333333333333333,1.0,False
CopulaGAN,CTGAN,5.666666666666667,6.333333333333333,1.0,False
TabDDPM,CopulaGAN,5.333333333333333,5.666666666666667,1.0,False
TabDDPM,CTABGAN,5.333333333333333,6.5,1.0,False
GaussianCopula,TVAE,4.0,4.0,1.0,False
GaussianCopula,CopulaGAN,4.0,5.666666666666667,1.0,False
GaussianCopula,TabDDPM,4.0,5.333333333333333,1.0,False
CopulaGAN,CTABGAN,5.666666666666667,6.5,1.0,False
WGAN-GP,CTGAN,3.0,6.333333333333333,1.0,False
WGAN-GP,CopulaGAN,3.0,5.666666666666667,1.0,False
WGAN-GP,TabDDPM,3.0,5.333333333333333,1.0,False
WGAN-GP,TVAE,3.0,4.0,1.0,False
WGAN-GP,GaussianCopula,3.0,4.0,1.0,False
GaussianCopula,CTGAN,4.0,6.333333333333333,1.0,False
CTGAN,CTABGAN,6.333333333333333,6.5,1.0,False
