Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CTABGAN,1.1666666666666667,6.5,0.004043918812426717,True
ForestDiffusion,CTGAN,1.1666666666666667,6.333333333333333,0.006308632075783471,True
ForestDiffusion,CopulaGAN,1.1666666666666667,5.666666666666667,0.03163483621607743,True
ForestDiffusion,TabDDPM,1.1666666666666667,5.333333333333333,0.06376421977258251,False
WGAN-GP,CTABGAN,3.0,6.5,0.2061514040533896,False
WGAN-GP,CTGAN,3.0,6.333333333333333,0.2628395879948676,False
ForestDiffusion,GaussianCopula,1.1666666666666667,4.0,0.4793966024535148,False
ForestDiffusion,TVAE,1.1666666666666667,4.0,0.4793966024535148,False
WGAN-GP,CopulaGAN,3.0,5.666666666666667,0.5608555753547232,False
TVAE,CTABGAN,4.0,6.5,0.6420956568367515,False
GaussianCopula,CTABGAN,4.0,6.5,0.6420956568367515,False
TVAE,CTGAN,4.0,6.333333333333333,0.7196435315769298,False
WGAN-GP,TabDDPM,3.0,5.333333333333333,0.7196435315769298,False
GaussianCopula,CTGAN,4.0,6.333333333333333,0.7196435315769298,False
ForestDiffusion,WGAN-GP,1.1666666666666667,3.0,0.9005538197224444,False
GaussianCopula,CopulaGAN,4.0,5.666666666666667,0.9381996495324064,False
TVAE,CopulaGAN,4.0,5.666666666666667,0.9381996495324064,False
TVAE,TabDDPM,4.0,5.333333333333333,0.9818365844076133,False
GaussianCopula,TabDDPM,4.0,5.333333333333333,0.9818365844076133,False
TabDDPM,CTABGAN,5.333333333333333,6.5,0.9917616474044787,False
WGAN-GP,TVAE,3.0,4.0,0.9968218216066275,False
WGAN-GP,GaussianCopula,3.0,4.0,0.9968218216066275,False
TabDDPM,CTGAN,5.333333333333333,6.333333333333333,0.9968218216066275,False
CopulaGAN,CTABGAN,5.666666666666667,6.5,0.9990115713037246,False
CopulaGAN,CTGAN,5.666666666666667,6.333333333333333,0.999773316956035,False
TabDDPM,CopulaGAN,5.333333333333333,5.666666666666667,0.9999980024121542,False
CTGAN,CTABGAN,6.333333333333333,6.5,0.9999999839135403,False
GaussianCopula,TVAE,4.0,4.0,1.0,False
