Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
TVAE,CTABGAN,3.8333333333333335,7.0,0.875,False
ForestDiffusion,TVAE,1.1666666666666667,3.8333333333333335,0.875,False
ForestDiffusion,GaussianCopula,1.1666666666666667,4.166666666666667,0.875,False
ForestDiffusion,TabDDPM,1.1666666666666667,5.0,0.875,False
ForestDiffusion,CopulaGAN,1.1666666666666667,5.333333333333333,0.875,False
ForestDiffusion,CTGAN,1.1666666666666667,6.333333333333333,0.875,False
ForestDiffusion,CTABGAN,1.1666666666666667,7.0,0.875,False
WGAN-GP,CTABGAN,3.1666666666666665,7.0,0.875,False
GaussianCopula,CTABGAN,4.166666666666667,7.0,0.875,False
GaussianCopula,CopulaGAN,4.166666666666667,5.333333333333333,1.0,False
GaussianCopula,CTGAN,4.166666666666667,6.333333333333333,1.0,False
ForestDiffusion,WGAN-GP,1.1666666666666667,3.1666666666666665,1.0,False
TabDDPM,CTGAN,5.0,6.333333333333333,1.0,False
GaussianCopula,TabDDPM,4.166666666666667,5.0,1.0,False
CopulaGAN,CTGAN,5.333333333333333,6.333333333333333,1.0,False
TabDDPM,CopulaGAN,5.0,5.333333333333333,1.0,False
TabDDPM,CTABGAN,5.0,7.0,1.0,False
TVAE,GaussianCopula,3.8333333333333335,4.166666666666667,1.0,False
TVAE,CopulaGAN,3.8333333333333335,5.333333333333333,1.0,False
TVAE,TabDDPM,3.8333333333333335,5.0,1.0,False
CopulaGAN,CTABGAN,5.333333333333333,7.0,1.0,False
WGAN-GP,CTGAN,3.1666666666666665,6.333333333333333,1.0,False
WGAN-GP,CopulaGAN,3.1666666666666665,5.333333333333333,1.0,False
WGAN-GP,TabDDPM,3.1666666666666665,5.0,1.0,False
WGAN-GP,GaussianCopula,3.1666666666666665,4.166666666666667,1.0,False
WGAN-GP,TVAE,3.1666666666666665,3.8333333333333335,1.0,False
TVAE,CTGAN,3.8333333333333335,6.333333333333333,1.0,False
CTGAN,CTABGAN,6.333333333333333,7.0,1.0,False
