Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CTABGAN,1.1666666666666667,7.0,0.0009687455569488135,True
ForestDiffusion,CTGAN,1.1666666666666667,6.333333333333333,0.006308632075783471,True
ForestDiffusion,CopulaGAN,1.1666666666666667,5.333333333333333,0.06376421977258251,False
ForestDiffusion,TabDDPM,1.1666666666666667,5.0,0.1192558246661326,False
WGAN-GP,CTABGAN,3.1666666666666665,7.0,0.1192558246661326,False
TVAE,CTABGAN,3.8333333333333335,7.0,0.32812564219757157,False
WGAN-GP,CTGAN,3.1666666666666665,6.333333333333333,0.3281256421975719,False
ForestDiffusion,GaussianCopula,1.1666666666666667,4.166666666666667,0.4009386127813581,False
GaussianCopula,CTABGAN,4.166666666666667,7.0,0.4793966024535148,False
ForestDiffusion,TVAE,1.1666666666666667,3.8333333333333335,0.5608555753547233,False
TVAE,CTGAN,3.8333333333333335,6.333333333333333,0.6420956568367513,False
GaussianCopula,CTGAN,4.166666666666667,6.333333333333333,0.7901943288900902,False
WGAN-GP,CopulaGAN,3.1666666666666665,5.333333333333333,0.7901943288900902,False
ForestDiffusion,WGAN-GP,1.1666666666666667,3.1666666666666665,0.8510607755299454,False
TabDDPM,CTABGAN,5.0,7.0,0.8510607755299454,False
WGAN-GP,TabDDPM,3.1666666666666665,5.0,0.9005538197224444,False
CopulaGAN,CTABGAN,5.333333333333333,7.0,0.9381996495324064,False
TVAE,CopulaGAN,3.8333333333333335,5.333333333333333,0.9647295117904233,False
TabDDPM,CTGAN,5.0,6.333333333333333,0.9818365844076133,False
TVAE,TabDDPM,3.8333333333333335,5.0,0.9917616474044786,False
GaussianCopula,CopulaGAN,4.166666666666667,5.333333333333333,0.9917616474044787,False
WGAN-GP,GaussianCopula,3.1666666666666665,4.166666666666667,0.9968218216066275,False
CopulaGAN,CTGAN,5.333333333333333,6.333333333333333,0.9968218216066275,False
GaussianCopula,TabDDPM,4.166666666666667,5.0,0.9990115713037246,False
CTGAN,CTABGAN,6.333333333333333,7.0,0.999773316956035,False
WGAN-GP,TVAE,3.1666666666666665,3.8333333333333335,0.999773316956035,False
TabDDPM,CopulaGAN,5.0,5.333333333333333,0.9999980024121542,False
TVAE,GaussianCopula,3.8333333333333335,4.166666666666667,0.9999980024121542,False
