Dataset,Generator,Fidelity (Quality),R² TSTR,R² Gap,RMSE TSTR,RMSE Gap,MIA AUC
Air Quality,CTABGAN,0.818734 ± 0.0109289,0.174311 ± 0.376582,0.825347 ± 0.376582,33.5087 ± 11.0493,32.9965 ± 11.0493,0.720802 ± 0.0575137
Air Quality,CTGAN,0.903995 ± 0.00962268,0.97608 ± 0.00987971,0.0235777 ± 0.00987971,5.69765 ± 1.13587,5.18542 ± 1.13587,0.65779 ± 0.0514345
Air Quality,CopulaGAN,0.910068 ± 0.00894436,0.962838 ± 0.0221388,0.0368204 ± 0.0221388,6.97914 ± 1.96466,6.46691 ± 1.96466,0.631395 ± 0.0301038
Air Quality,ForestDiffusion,0.904121 ± 0.0102406,0.996334 ± 0.00156181,0.00332417 ± 0.00156181,2.24172 ± 0.45037,1.72949 ± 0.45037,0.466815 ± 0.0355906
Air Quality,GaussianCopula,0.753889 ± 0,0.924742 ± 0,0.0749162 ± 0,9.60901 ± 0,9.09678 ± 0,1 ± 0
Air Quality,TVAE,0.908587 ± 0.0111289,0.967288 ± 0.0490145,0.03237 ± 0.0490145,5.13077 ± 4.05512,4.61854 ± 4.05512,0.497802 ± 0.0425223
Air Quality,TabDDPM,0.712744 ± 0.017087,0.914556 ± 0.0446723,0.085102 ± 0.0446723,9.92353 ± 3.00412,9.4113 ± 3.00412,0.900111 ± 0.0319755
Air Quality,WGAN-GP,0.922958 ± 0.00750392,0.998045 ± 0.000657514,0.00161289 ± 0.000657514,1.62263 ± 0.306137,1.11039 ± 0.306137,0.599963 ± 0.0607668
Concrete,CTABGAN,0.742161 ± 0.0135499,-0.72277 ± 1.80462,1.47589 ± 1.80462,19.0291 ± 6.33406,11.3355 ± 6.33406,0.84784 ± 0.132419
Concrete,CTGAN,0.718693 ± 0.0236402,-0.450948 ± 0.25515,1.20407 ± 0.25515,19.2588 ± 1.6122,11.5652 ± 1.6122,0.791617 ± 0.0565185
Concrete,CopulaGAN,0.717602 ± 0.0122134,-0.408522 ± 0.523511,1.16164 ± 0.523511,18.7977 ± 3.20444,11.1042 ± 3.20444,0.826531 ± 0.0651107
Concrete,ForestDiffusion,0.893262 ± 0.00316929,0.658344 ± 0.0141824,0.0947737 ± 0.0141824,9.32627 ± 0.185447,1.6327 ± 0.185447,0.527716 ± 0.0393
Concrete,GaussianCopula,0.849098 ± 0,-0.149661 ± 0,0.902779 ± 0,15.7868 ± 0,8.09327 ± 0,0.79642 ± 0
Concrete,TVAE,0.889115 ± 0.0122196,0.49225 ± 0.0279425,0.260868 ± 0.0279425,11.431 ± 0.311303,3.73746 ± 0.311303,0.698235 ± 0.0245617
Concrete,TabDDPM,0.820973 ± 0.0420503,0.548958 ± 0.0422342,0.20416 ± 0.0422342,10.4419 ± 0.430791,2.74831 ± 0.430791,0.723 ± 0.0691697
Concrete,WGAN-GP,0.889391 ± 0.00773907,0.155638 ± 0.194798,0.59748 ± 0.194798,14.135 ± 1.33058,6.44139 ± 1.33058,0.761185 ± 0.0394363
Energy Efficiency,CTABGAN,0.567184 ± 0.0515013,0.227292 ± 0.260405,0.750811 ± 0.260405,8.79142 ± 1.52007,7.37671 ± 1.52007,0.906778 ± 0.0482002
Energy Efficiency,CTGAN,0.688347 ± 0.0101868,-0.0513783 ± 0.25504,1.02948 ± 0.25504,10.3872 ± 1.27634,8.9725 ± 1.27634,0.761914 ± 0.0638808
Energy Efficiency,CopulaGAN,0.669743 ± 0.0181303,0.02636 ± 0.199499,0.951742 ± 0.199499,10.0204 ± 1.03564,8.60574 ± 1.03564,0.831025 ± 0.0512183
